internalID,atom_attributions,AlertAtoms,AttributionAUC
Mol5919,0:0.1178455821732844|1:0.3035709425772667|2:0.1426125226843773|3:0.10377323095879795|4:0.02826106516178442|5:0.04776457858591776|6:0.0028380413570246567|7:-0.040061930701134084|8:-0.13126547296385696|9:-0.04610894247219584|10:0.09352726203179934|11:0.0915243011185977|12:0.057867562872950695,0|1|2|3,1.0
Mol6241,0:0.019025636705029058|1:0.05833137526230281|2:0.029015654559531024|3:0.20547779686500622|4:0.009257139803361174|5:0.12294480906421751|6:0.04680142403355886|7:0.17033384164600915|8:0.10032501161497846|9:0.07026814174718735|10:-0.04097584367471988|11:0.02171952208209864|12:-0.04399154560391405|13:0.02171952208209864,6|7|8|9,0.8
