internalID,atom_attributions,AlertAtoms,AttributionAUC
Mol5919,0:0.04550958903890264|1:0.056909290110110256|2:0.03279479857333936|3:0.0773740720444793|4:0.05275784447131014|5:0.0369018035635336|6:0.04683942378927542|7:0.020251141747768403|8:-0.0007621222448001605|9:0.005358371106548226|10:0.011170607724174537|11:0.038155239022042445|12:0.06174660876326,0|1|2|3,0.75
Mol6241,0:0.028419703060517342|1:0.051744210861614626|2:0.02594604771674636|3:0.022721789263947273|4:0.04703250039971224|5:0.01951444788945086|6:0.051829102730335135|7:0.05057775338933918|8:0.04477792789026658|9:0.03673235708219048|10:0.03296138475941316|11:0.00648405480403862|12:0.03195192068171493|13:0.013225832890846294,6|7|8|9,0.875
